assessment_id,student_id,educator_id,subject,domain,score,assessment_date,assessment_period,learning_objective_id,notes
85ce6e1f-b57c-493d-a7ce-903e5fe38a97,44a39c37-b452-459d-9243-e27609ec1add,d2050269-15a0-4532-b71b-629fb9de5aa6,physical,balance,8.3,2024-11-06,fall,e6a1c0f2-4077-4878-8d89-8afdd26bd104,
aaf7bb4b-9dcf-4cfe-bb7a-e2dcb4ebf4fa,9a47ed28-ca3e-42c2-a413-4eb08ac943d0,aad1d70d-b69d-407c-9041-524d7a38d539,math,counting,4.1,2024-07-10,spring,4b314d63-2602-4f80-b7c3-66018fc4b021,
1f0a678c-d422-455b-b3b8-17701cd2f0c7,584ea6a6-ace6-48a3-98c9-ff21d694b411,32bf81c8-f850-4682-b6d0-75850fa3ec59,math,geometry,8.2,2025-03-03,winter,f8b9cd7b-8338-45a1-ab11-63f38a980de5,
3af7e271-3bd6-4036-8dd4-9c574b2cea03,e0fbb42e-f0d1-46a7-b195-73d8747e1813,17fb546c-b32a-4706-bced-59ed2f685509,literacy,vocabulary,5.3,2025-05-11,spring,b8115fa8-6830-4567-91e4-4d9f543825cf,
93c73ffe-641b-4e82-9f56-4e57967fe9a3,84e4ceb9-2557-46fc-aeab-dcc7cdb4f090,c9a63b78-381e-4093-87e7-48eb245a13fc,math,measurement,2.8,2024-04-30,spring,1bdff18f-a56f-468b-ab38-966621ddbb32,
caa99283-c70a-40d9-a65c-c02026053363,d97b9bca-5689-4482-a04a-f072365338cf,10fe8f2e-029d-44ef-8e9e-b04564c5065e,physical,fine_motor,5.0,2025-03-17,winter,c9a7243f-4847-4402-afa9-32f034440323,Shows enthusiasm for hands-on learning activities.
52fb7275-da4b-4ad0-8f99-89a2f76e13b0,2fb7a9ab-721c-4d37-90f7-b685a24a9a32,a98d3414-4ca5-4c7c-9e26-95747affddc8,math,patterns,2.1,2024-11-24,fall,bf3a2007-f144-43ab-a25a-4651eaef229c,Excellent progress in peer collaboration activities.
7b258050-9fff-4d7f-8de9-a3f42c94e5aa,e88441eb-06df-46bb-91fd-492cd0cc6955,e4806767-531e-4df5-8ff8-6c0e404aad96,social_emotional,cooperation,4.1,2025-03-16,winter,6a8a5cbb-80ac-490d-b12a-b107bad5b9d4,Needs additional support with foundational concepts.
e9d6555f-b21a-4714-bcc2-00abd18b09cb,b4a736c4-6f12-4e90-955d-b11f81932d62,220e6b00-2c16-4d51-9ce3-0316c7673a81,literacy,phonics,7.6,2026-02-23,winter,2a9a0123-834b-47c9-8459-b8fc0c200c41,Responded well to scaffolded instruction.
ac6afa6d-5c9f-4a44-8968-8e3e5e64c25a,087bf9bb-0b0f-446c-b4f4-9cddf600038c,1e845cb6-b106-42cc-812b-1e207f3fd108,math,operations,5.1,2026-03-02,winter,b299790f-9f9c-4cf3-82b8-9be6aa3ef89f,Demonstrated improvement from the previous period.
61566e20-1588-4927-a521-52d63e8c8bc2,76383634-ed57-46b8-9865-3de45437e2c0,094e81d3-4d3d-4d6c-9e5d-6ed9ceb65623,physical,fine_motor,6.2,2024-07-15,spring,24754d1c-f194-4993-b95a-ab51c88285b9,
dca30b52-d2e6-4c99-a60a-b685319f5cfa,d0275515-5863-47a8-86c2-36d641b71214,1e845cb6-b106-42cc-812b-1e207f3fd108,math,geometry,5.6,2024-08-12,fall,711fad44-72d5-42e2-8ff7-6f3c0782f293,
d3784858-918f-4a70-8720-d4a8bce85e6b,5d261a99-35c3-4a7a-b7ea-996efd2d8b8b,10fa2826-8449-484b-819b-d150e2243b29,math,operations,8.7,2026-02-01,winter,47c62032-131b-4145-a03c-e9ab05d6a158,
c990f18d-69e0-4926-a46b-fcbc42dce4c7,9f3b2c2c-560c-4c0b-bd8d-a962f9ea0f29,2fc67fc5-b184-4711-9551-cc61b1e28cf6,physical,balance,6.9,2024-12-23,fall,357fea58-e817-4e07-90c5-4563775f3cb0,Demonstrates age-appropriate skill development.
e86edc32-1aa9-4329-9507-22ae7cd0b1e0,5ed9e460-44c8-4fe4-addc-2a30a0f53465,35abe7ef-56ab-4de4-a888-fa524c914b7a,math,measurement,6.7,2025-07-31,spring,9eee9aac-a591-4ec6-94dc-7c55eb4d623d,
b732231f-181e-4f9a-8f51-5baba0677720,5df9b95e-b047-4c95-a0ba-78f290b05ce8,0b0b5530-e938-4ebb-9bb4-68661c55b8af,literacy,reading,5.3,2025-06-11,spring,acd6f0b0-aa35-40bc-85e1-9247102fc2c8,
aa3193a8-0a64-4e98-a297-2bf7e868feba,6820c599-5622-4f9a-b001-b841c8f28597,cb916474-8f4a-43a9-a28e-685536b628ee,science,physical_science,3.7,2024-04-10,spring,39de4e1c-1c5a-4428-a2d0-84b2cc5050c0,
4fcea21c-b3b0-46dc-8164-516b9796dea2,2f322e8b-b732-4f5c-a19e-b2b03df3d60b,b597871b-e4bb-43b4-aba0-5b43f9430460,social_emotional,empathy,7.5,2025-09-12,fall,8fbb8aa3-0848-4214-a045-cc9d3321181c,
b8025b11-5be4-429f-ac41-253bf2a9d8bd,5d261a99-35c3-4a7a-b7ea-996efd2d8b8b,e4806767-531e-4df5-8ff8-6c0e404aad96,social_emotional,cooperation,3.3,2025-07-22,spring,fe2ab558-b419-4fbd-95d7-c168ad0ebd07,Demonstrates age-appropriate skill development.
799e6e5e-ef88-49a1-860c-5003e8f66d06,66871820-5f93-43b8-acb9-f7de95443b0c,3a7046ca-6111-4b29-ac27-70ef77e8ba3f,social_emotional,cooperation,6.5,2025-12-07,fall,fe2ab558-b419-4fbd-95d7-c168ad0ebd07,Consistent performance across multiple attempts.
036e5d0e-5b2e-400e-9b17-0f96e3883bce,48ff44b8-9ff1-4ab6-944c-4f2b7114fadf,da272521-aac6-48f8-822b-4458301451cf,math,geometry,5.3,2024-04-27,spring,f8b9cd7b-8338-45a1-ab11-63f38a980de5,Consistent performance across multiple attempts.
6bfedac6-c38f-4797-bba0-63aa4d9be6eb,7f96450e-f814-4de0-8b32-be12c6208518,97db7081-9a33-45f0-bed6-ae5309936c55,math,patterns,3.4,2025-03-01,winter,31e6d1d9-e628-4330-8164-e9e9759556aa,Demonstrated improvement from the previous period.
cf7d8663-364a-4e68-88ba-8be7a16a7306,3b55f122-10df-4c62-9e64-3e2814881557,1b44ec60-af07-4f18-9f9b-0f01cdda1cca,physical,gross_motor,6.9,2025-09-29,fall,6829b629-8c16-43b0-8664-eb03b171e12b,Demonstrated improvement from the previous period.
efbae830-96c1-45ba-86f1-f163c95c9f19,20744984-5c5a-42da-b49e-3882ef51065a,32e2a680-6b7b-4245-8db5-2b369564cb37,social_emotional,relationships,6.1,2024-08-29,fall,2f639f43-6e9b-4112-b1fc-9bafc51f881a,
a4fa0388-1a6d-4f4b-a331-85afffa30e71,0ff5614f-fe83-4fbf-8d0e-e1905cdec5db,474287b5-f5dc-4c9e-a459-91e41ef833fc,literacy,comprehension,5.9,2026-03-09,winter,1e80ae4a-463a-4964-b2b6-fc7f29864e28,
0b18ee1b-4f61-4645-a1f6-424db2cfe8b3,dcf5bad1-8c2f-44d8-ba0a-6bfaeea58eb6,12004d06-ea32-48b8-9c21-59c71fc535a7,literacy,comprehension,1.6,2024-05-14,spring,1e80ae4a-463a-4964-b2b6-fc7f29864e28,
aecf18c8-3112-4433-8119-2ddb7e65d71e,7c4b03f4-46dc-49b7-ae09-10acd77c4a94,c0b3f642-46c1-432b-bc95-c3bbdc470d4e,physical,fine_motor,7.5,2026-01-16,winter,04efdc1a-cc5b-4376-bbda-9ff44ff1b8e9,Making steady progress toward learning objectives.
7a6f4058-79b4-4c82-ad4b-b0dd19b794ac,6858e4e6-b36f-4c0e-ad18-d97849f11b79,cb916474-8f4a-43a9-a28e-685536b628ee,social_emotional,empathy,7.0,2026-01-15,winter,3b9d320c-f8da-4e54-8ab9-4bfe614a92f0,
8fc8de9a-e365-463b-9bc8-e8d86558272f,bb03f107-e512-45f9-b384-4022b1a2a951,fa62cd11-2df7-42f3-be68-9908454ba0f6,science,inquiry,6.8,2024-12-22,fall,744566c8-bbf5-4ed3-b3cc-356d86b3bc13,
53e1543a-432a-4f75-b130-3f24c087f332,934c010f-2b4e-4d86-bc17-052114053bca,5f2fe147-1bd6-4926-9d3b-09127aa242f5,science,earth_science,5.6,2024-10-16,fall,c475a8e2-fbd0-44f7-ad48-1f3b3eba54e7,
e7a846ac-03a2-47ae-b78b-3a1b88ef0458,9df7e203-c527-4532-a63e-9235feb116d3,38572b06-e9bb-4b8f-949a-baadd8b8a2a8,literacy,writing,6.6,2024-12-08,fall,469d52b0-c02b-4bc1-9bb6-c856c4179d1b,Shows enthusiasm for hands-on learning activities.
3653d992-7d17-41cc-a946-bc7e7e696a5a,4a898df7-2be5-4387-ae78-324b24788a3d,55ef8cf8-d989-4aa3-8787-4aa9dd49e991,math,geometry,3.2,2025-06-24,spring,99e9db12-10ec-435f-889c-ae1281c73702,
87291dab-482e-41dd-819e-fc623a7dc353,22e51137-797f-441e-bd66-a4c4db140963,ca3409c0-3d6e-4592-8282-c0353e0ab595,physical,fine_motor,1.4,2026-02-19,winter,0275a99f-7f70-4ea8-9580-36fb5ffc56ce,
607ed247-1cba-45cb-abd4-39236b4f8f44,f31895da-9e5d-4585-be6d-7504f95bd2fe,0f112e5e-e576-42f3-b3ab-3ea19bac6e62,physical,fine_motor,1.0,2025-01-07,winter,761e0d58-f2a4-4367-99de-36b361522240,Responded well to scaffolded instruction.
54c071d8-f654-49ea-b829-bf35ee3efa4b,393a4053-cb9f-4314-b470-3e03f0d5934e,85f2db56-78f6-4852-9fcc-b491703a251e,social_emotional,conflict_resolution,4.7,2025-01-01,winter,36fa5566-bae6-49a5-a55d-77dbcbf285ea,
b4e4f173-4117-4e63-bb7a-bb752d77d533,75534fbf-6da0-4259-8d84-01a3ecbd5256,2d2b4a43-9555-4c79-8372-4602c5d11635,math,counting,2.8,2024-11-15,fall,88f26b71-8c4c-456c-8474-36df85092ae0,
7051ed61-a0f4-4312-936b-89d31a416505,b27d38f0-80a3-44af-a1e5-9e95f578f354,bb7da87a-d5a4-4880-88e9-c312a637e941,math,operations,6.8,2025-01-22,winter,490bcba6-b885-4cfa-b3a9-f1bc9a2ad66a,
7c636c68-2862-487a-8813-3504ac3f964a,6241bf5a-788c-42d9-b15f-534caf01b5a0,792d384e-c265-4f5d-a410-d6b76569874b,literacy,phonics,5.8,2026-01-13,winter,b059913a-e87a-46c3-a312-fad912dd66f5,
fb380fab-0a15-4132-ac72-930530203cf2,9f79acfc-ea16-4ee5-931a-8d5e427a36a4,dd03888f-1000-43e3-b6c6-1f634a1682b4,literacy,reading,3.7,2025-03-20,winter,9f43480c-5057-4725-b5af-9a7762dbea5b,
5a17619e-dda3-4f64-aa4b-557ef064cb61,c04f0d3b-6e1f-45b2-a6a5-da578cebb70c,ba5df66c-026f-448e-b657-858293964f67,literacy,vocabulary,2.7,2025-08-26,fall,16baebea-6b02-4655-a269-d259ba2477f4,
5a0c4d2f-fb2c-49ce-bb60-d148daa41124,43a9b7f7-e99e-4223-884f-1b096493c3f4,be4f880a-b080-42bd-bf87-e2677f8bde34,literacy,comprehension,1.3,2025-05-20,spring,9b80d9f5-d273-4104-86a1-cf55a50b17ba,
1c112fd3-712c-4149-9a98-b16956f400e7,c5923d4b-c6f1-4ff0-b219-3e176086ab81,beb8be19-dbcb-40fc-9d3c-6f1668e3e2d0,math,operations,8.9,2025-10-29,fall,47c62032-131b-4145-a03c-e9ab05d6a158,Making steady progress toward learning objectives.
4f2449b2-292b-42f1-b51a-e6382a391787,8b055364-9e7a-4dd9-a899-3d5b69dd434b,2fc67fc5-b184-4711-9551-cc61b1e28cf6,math,measurement,4.6,2025-02-19,winter,618223cf-6e0f-48ff-aabd-fb039e975503,
12087481-edc1-4676-8959-2b9c2594624e,a1524e4f-a6e9-4c32-b96c-130fca64fb64,8ff4fbe4-3f94-463f-8ace-8caff75c713d,science,inquiry,6.0,2024-09-20,fall,da11c031-83ab-40a9-a7db-0a804520e43e,
